"SCALE","ENTITY","VARIANT","URL"
"1:50m","Physical Labels","marine areas","https://naciscdn.org/naturalearth/50m/physical/ne_50m_geography_marine_polys.zip"
"1:50m","Playas","playas","https://naciscdn.org/naturalearth/50m/physical/ne_50m_playas.zip"
"1:50m","Glaciated Areas","glaciated areas","https://naciscdn.org/naturalearth/50m/physical/ne_50m_glaciated_areas.zip"
"1:50m","Antarctic Ice Shelves","Antarctic ice shelves","https://naciscdn.org/naturalearth/50m/physical/ne_50m_antarctic_ice_shelves_polys.zip"
"1:50m","Antarctic Ice Shelves","Antarctic ice shelve edge","https://naciscdn.org/naturalearth/50m/physical/ne_50m_antarctic_ice_shelves_lines.zip"
"1:50m","Geographic lines","geographic lines","https://naciscdn.org/naturalearth/50m/physical/ne_50m_geographic_lines.zip"
"1:50m","Graticules","all","https://naciscdn.org/naturalearth/50m/physical/ne_50m_graticules_all.zip"
"1:50m","Graticules","1 degree","https://naciscdn.org/naturalearth/50m/physical/ne_50m_graticules_1.zip"
"1:50m","Graticules","5","https://naciscdn.org/naturalearth/50m/physical/ne_50m_graticules_5.zip"
"1:50m","Graticules","10","https://naciscdn.org/naturalearth/50m/physical/ne_50m_graticules_10.zip"
"1:50m","Graticules","15","https://naciscdn.org/naturalearth/50m/physical/ne_50m_graticules_15.zip"
"1:50m","Graticules","20","https://naciscdn.org/naturalearth/50m/physical/ne_50m_graticules_20.zip"
"1:50m","Graticules","30","https://naciscdn.org/naturalearth/50m/physical/ne_50m_graticules_30.zip"
"1:50m","Graticules","bounding box","https://naciscdn.org/naturalearth/50m/physical/ne_50m_wgs84_bounding_box.zip"
"1:50m","Cross Blended Hypso","small size","https://naciscdn.org/naturalearth/50m/raster/HYP_50M_SR.zip"
"1:50m","Cross Blended Hypso with Shaded Relief","small size","https://naciscdn.org/naturalearth/50m/raster/HYP_50M_SR_W.zip"
"1:50m","Natural Earth I with Shaded Relief","small size","https://naciscdn.org/naturalearth/50m/raster/NE1_50M_SR.zip"
"1:50m","Natural Earth I with Shaded Relief and Water","small size","https://naciscdn.org/naturalearth/50m/raster/NE1_50M_SR_W.zip"
"1:50m","Natural Earth II with Shaded Relief","small size","https://naciscdn.org/naturalearth/50m/raster/NE2_50M_SR.zip"
"1:50m","Natural Earth II with Shaded Relief and Water","small size","https://naciscdn.org/naturalearth/50m/raster/NE2_50M_SR_W.zip"
"1:50m","Ocean Bottom","small size","https://naciscdn.org/naturalearth/50m/raster/OB_50M.zip"
"1:50m","Bathymetry","small size","https://naciscdn.org/naturalearth/50m/raster/BATH_50M.zip"
"1:50m","Shaded Relief Basic","small size","https://naciscdn.org/naturalearth/50m/raster/SR_50M.zip"
"1:50m","Gray Earth with Shaded Relief and Hypsography","small size","https://naciscdn.org/naturalearth/50m/raster/GRAY_50M_SR.zip"
"1:50m","Gray Earth with Shaded Relief, Hypsography, and Flat Water","small size","https://naciscdn.org/naturalearth/50m/raster/GRAY_50M_SR_W.zip"
"1:50m","Gray Earth with Shaded Relief, Hypsography, and Ocean Bottom","small size","https://naciscdn.org/naturalearth/50m/raster/GRAY_50M_SR_OB.zip"
"1:50m","Manual Shaded Relief","small size","https://naciscdn.org/naturalearth/50m/raster/MSR_50M.zip"
"1:50m","Prisma Shaded Relief","small size","https://naciscdn.org/naturalearth/50m/raster/PRISMA_SR_50M.zip"
"1:100m","Admin 0 – Countries","countries","https://naciscdn.org/naturalearth/100m/cultural/ne_100m_admin_0_countries.zip"
"1:100m","Admin 0 – Countries","without boundary lakes","https://naciscdn.org/naturalearth/100m/cultural/ne_100m_admin_0_countries_lakes.zip"
"1:100m","Admin 0 – Details","sovereignty","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_0_sovereignty.zip"
"1:100m","Admin 0 – Details","map units","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_0_map_units.zip"
"1:100m","Admin 0 – Details","scale ranks","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_0_scale_rank.zip"
"1:100m","Admin 0 – Details","tiny country points","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_0_tiny_countries.zip"
"1:100m","Admin 0 – Boundary Lines","country boundaries","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_0_boundary_lines_land.zip"
"1:100m","Admin 0 – Boundary Lines","Pacific grouping lines","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_0_pacific_groupings.zip"
"1:100m","Admin 1 – States, provinces","states and provinces","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_1_states_provinces.zip"
"1:100m","Admin 1 – States, provinces","without large lakes","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_1_states_provinces_lakes.zip"
"1:100m","Admin 1 – States, provinces","boundaries","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_1_states_provinces_lines.zip"
"1:100m","Admin 1 – States, provinces","scale ranks","https://naciscdn.org/naturalearth/110m/cultural/ne_110m_admin_1_states_provinces_shp_scale_rank.zip"
"1:100m","Populated Places","populated places","https://naciscdn.org/naturalearth/100m/cultural/ne_100m_populated_places.zip"
"1:100m","Populated Places","simple (less columns)","https://naciscdn.org/naturalearth/100m/cultural/ne_100m_populated_places_simple.zip"
"1:100m","Coastline","coastline","https://naciscdn.org/naturalearth/100m/physical/ne_100m_coastline.zip"
"1:100m","Land","land","https://naciscdn.org/naturalearth/100m/physical/ne_100m_land.zip"
"1:100m","Ocean","ocean","https://naciscdn.org/naturalearth/100m/physical/ne_100m_ocean.zip"
"1:100m","Rivers, Lake Centerlines","rivers and lake centerlines","https://naciscdn.org/naturalearth/100m/physical/ne_100m_rivers_lake_centerlines.zip"
"1:100m","Lakes + Reservoirs","lakes","https://naciscdn.org/naturalearth/100m/physical/ne_100m_lakes.zip"
"1:100m","Physical Labels","label areas","https://naciscdn.org/naturalearth/100m/physical/ne_100m_geography_regions_polys.zip"
"1:100m","Physical Labels","label points","https://naciscdn.org/naturalearth/100m/physical/ne_100m_geography_regions_points.zip"
"1:100m","Physical Labels","elevation points","https://naciscdn.org/naturalearth/100m/physical/ne_100m_geography_regions_elevation_points.zip"
"1:100m","Physical Labels","marine areas","https://naciscdn.org/naturalearth/100m/physical/ne_100m_geography_marine_polys.zip"
"1:100m","Glaciated Areas","glaciated areas","https://naciscdn.org/naturalearth/100m/physical/ne_100m_glaciated_areas.zip"
"1:100m","Geographic lines","geographic lines","https://naciscdn.org/naturalearth/100m/physical/ne_100m_geographic_lines.zip"
"1:100m","Graticules","all","https://naciscdn.org/naturalearth/100m/physical/ne_100m_graticules_all.zip"
"1:100m","Graticules","1 degree","https://naciscdn.org/naturalearth/100m/physical/ne_100m_graticules_1.zip"
"1:100m","Graticules","5","https://naciscdn.org/naturalearth/100m/physical/ne_100m_graticules_5.zip"
"1:100m","Graticules","10","https://naciscdn.org/naturalearth/100m/physical/ne_100m_graticules_10.zip"
"1:100m","Graticules","15","https://naciscdn.org/naturalearth/100m/physical/ne_100m_graticules_15.zip"
"1:100m","Graticules","20","https://naciscdn.org/naturalearth/100m/physical/ne_100m_graticules_20.zip"
"1:100m","Graticules","30","https://naciscdn.org/naturalearth/100m/physical/ne_100m_graticules_30.zip"
"1:100m","Graticules","bounding box","https://naciscdn.org/naturalearth/100m/physical/ne_100m_wgs84_bounding_box.zip"
